,Date,Name,Symbol,Share,Weight,WK Change
302,2021-10-23,FirstRand Ltd.,FSR,"9,180,073",0.07,12.88
303,2021-10-23,Fortis Inc./Can..,FTS,"878,288",0.07,8.37
304,2021-10-23,Grupo Financier..,GFNORTEO,"5,420,718",0.07,NA
305,2021-10-23,CGI Inc.,GIB.A,"414,322",0.07,NA
306,2021-10-23,HCL Technologie..,HCLTECH,"2,032,621",0.07,NA
307,2021-10-23,Shionogi & Co. ..,4507,"509,897",0.07,NA
308,2021-10-23,Eisai Co. Ltd.,4523,"493,674",0.07,NA
309,2021-10-23,Essity AB,ESSITY,"1,139,829",0.07,NA
310,2021-10-23,Coloplast A/S,COLO,"249,308",0.07,NA
311,2021-10-23,Akzo Nobel NV,AKZA,"348,440",0.07,NA
312,2021-10-23,Afterpay Ltd.,APT,"417,977",0.07,-59.32
313,2021-10-23,Asian Paints Lt..,ASIANPAINT,"843,800",0.07,NA
314,2021-10-23,ASM Internation..,ASM,"89,706",0.07,-10.93
315,2021-10-23,Aviva plc,AV.,"7,332,455",0.07,NA
316,2021-10-23,Bharti Airtel L..,BHARTIARTL,"4,273,668",0.07,NA
317,2021-10-23,Worldline SA/Fr..,WLN,"457,898",0.07,NA
318,2021-10-23,Zalando SE,ZAL,"409,024",0.07,NA
319,2021-10-23,Thomson Reuters..,TRI,"314,555",0.07,44.52
320,2021-10-23,Universal Music..,UMG,"1,385,484",0.07,NA
321,2021-10-23,UPM-Kymmene Oyj,UPM,"993,398",0.07,NA
322,2021-10-23,Vale SA,VALE,"2,577,301",0.07,20.07
323,2021-10-23,Asahi Group Hol..,2502,"786,550",0.07,NA
324,2021-10-23,Stellantis NV,STLA,"2,050,937",0.07,53.89
325,2021-10-23,Swedbank AB,SWED,"1,874,938",0.07,NA
326,2021-10-23,Delta Electroni..,2308,"4,049,676",0.07,NA
327,2021-10-23,China Mengniu D..,2319,"5,786,504",0.07,NA
328,2021-10-23,Skandinaviska E..,SEB,"2,719,235",0.07,24.50
329,2021-10-23,Segro plc,SGRO,"2,253,106",0.07,NA
330,2021-10-23,Aeon Co. Ltd.,8267,"1,314,885",0.07,NA
331,2021-10-23,Sonova Holding ..,SOON,"99,263",0.07,NA
332,2021-10-23,Suzuki Motor Co..,7269,"846,097",0.07,NA
333,2021-10-23,Formosa Plastic..,1301,"9,104,873",0.07,NA
334,2021-10-23,Nan Ya Plastics..,1303,"10,553,615",0.07,NA
335,2021-10-23,Kyocera Corp.,6971,"577,121",0.07,NA
336,2021-10-23,Restaurant Bran..,QSR,"565,967",0.07,9.76
337,2021-10-23,Omron Corp.,6645,"348,903",0.07,NA
338,2021-10-23,ArcelorMittal S..,MT,"1,188,506",0.07,118.78
339,2021-10-23,Kuaishou Techno..,1024,"2,895,800",0.06,NA
340,2021-10-23,BeiGene Ltd.,6160,"1,118,500",0.06,NA
341,2021-10-23,Toshiba Corp.,6502,"809,485",0.06,NA
342,2021-10-23,NatWest Group p..,NWG,"9,802,614",0.06,112.58
343,2021-10-23,Larsen & Toubro..,LT,"1,286,390",0.06,NA
344,2021-10-23,MTN Group Ltd.,MTN,"3,359,408",0.06,52.40
345,2021-10-23,Nice Ltd.,NICE,"119,659",0.06,23.78
346,2021-10-23,NN Group NV,NN,"579,692",0.06,NA
347,2021-10-23,Henkel AG & Co...,HEN3,"322,748",0.06,NA
348,2021-10-23,H & M Hennes & ..,HM,"1,628,048",0.06,NA
349,2021-10-23,3i Group plc,III,"1,790,588",0.06,261.90
350,2021-10-23,Itau Unibanco H..,ITUB,"6,163,038",0.06,-4.84
351,2021-10-23,James Hardie In..,JHX,"836,251",0.06,53.58
352,2021-10-23,Kuehne + Nagel ..,KNIN,"93,951",0.06,NA
353,2021-10-23,Fomento Economi..,FEMSAUBD,"3,434,127",0.06,NA
354,2021-10-23,Fortescue Metal..,FMG,"2,977,471",0.06,NA
355,2021-10-23,Gazprom PJSC,GAZP,"5,947,577",0.06,NA
356,2021-10-23,Otsuka Holdings..,4578,"788,000",0.06,NA
357,2021-10-23,Z Holdings Corp..,4689,"4,826,622",0.06,NA
358,2021-10-23,Entain plc,ENT,"1,089,398",0.06,0.00
359,2021-10-23,Eurofins Scient..,ERF,"228,368",0.06,371.72
360,2021-10-23,BT Group plc,BT.A,"14,070,862",0.06,NA
361,2021-10-23,Carlsberg AS,CARL,"182,050",0.06,NA
362,2021-10-23,CNH Industrial ..,CNHI,"1,848,492",0.06,104.69
363,2021-10-23,Amcor plc,AMC,"2,897,704",0.06,"1,120.00"
364,2021-10-23,Atlas Copco AB,ATCO,"663,829",0.06,53.17
365,2021-10-23,Hong Kong & Chi..,3,"20,380,110",0.06,NA
366,2021-10-23,Bank Rakyat Ind..,BBRI,"122,130,704",0.06,NA
